sample	taxon	contig_p	bin_p
ERR3211817	d__Bacteria	47.77214712393485	11.003840112791718
ERR3211817	d__Archaea	25.955226392863157	0.0
ERR3211818	d__Bacteria	51.25355582341909	8.285548313988397
ERR3211818	d__Archaea	28.12756863389775	0.0
ERR3211819	d__Bacteria	55.289640166362354	15.665682934890981
ERR3211819	d__Archaea	40.49338815423936	0.0
ERR3211820	d__Bacteria	48.41859520582277	6.859496406704048
ERR3211820	d__Archaea	21.408507223113965	0.0
ERR3211825	d__Bacteria	58.625212465357194	4.221385061776477
ERR3211825	d__Archaea	14.846107423053711	0.0
ERR3211826	d__Bacteria	53.61214363881144	6.1076395581978815
ERR3211826	d__Archaea	19.57831325301205	0.0
ERR3211827	d__Bacteria	56.262729549497735	7.648229526231074
ERR3211827	d__Archaea	21.55059132720105	0.0
ERR3211828	d__Bacteria	59.772036135963646	9.739333030813485
ERR3211828	d__Archaea	25.529767911200807	0.0
ERR3211831	d__Bacteria	60.37206706890503	10.006722208659271
ERR3211831	d__Archaea	23.974255832662912	0.0
ERR3211835	d__Bacteria	57.753265138295305	5.838384304376817
ERR3211835	d__Archaea	15.214285714285714	0.0
ERR3211836	d__Bacteria	57.42042084002149	6.302376384065651
ERR3211836	d__Archaea	16.85126582278481	0.0
ERR3211837	d__Bacteria	53.20003357486488	6.123970472981193
ERR3211837	d__Archaea	37.262458471760795	0.0
ERR3211839	d__Bacteria	53.11686048980177	10.163330702824211
ERR3211839	d__Archaea	30.372450487732785	0.0
ERR3211840	d__Bacteria	53.0161719627252	10.556155838710794
ERR3211840	d__Archaea	29.049295774647888	0.0
ERR3211843	d__Bacteria	46.97609546854073	7.056539016090095
ERR3211843	d__Archaea	22.494390426327598	0.0
ERR3211844	d__Bacteria	46.99650788397041	10.575783666170187
ERR3211844	d__Archaea	21.51073619631902	0.0
ERR3211845	d__Bacteria	46.20087142567683	12.445596651363202
ERR3211845	d__Archaea	8.909818303050509	0.0
ERR3211846	d__Bacteria	43.911481461689476	1.7840545036754238
ERR3211846	d__Archaea	15.097560975609756	0.0
ERR3211847	d__Bacteria	50.73250416847569	6.06564113086396
ERR3211847	d__Archaea	31.88447653429603	0.0
ERR3211849	d__Bacteria	54.00468767483968	1.7165361071871923
ERR3211849	d__Archaea	12.781065088757396	0.0
ERR3211854	d__Bacteria	57.16428385706741	5.341758751154999
ERR3211854	d__Archaea	17.41424802110818	0.0
ERR3211855	d__Bacteria	54.17848083708321	7.123922437528016
ERR3211855	d__Archaea	14.35483870967742	0.0
ERR3211858	d__Bacteria	41.76443995487254	1.658474089243038
ERR3211858	d__Archaea	8.89795918367347	0.0
ERR3211861	d__Bacteria	50.506141265981185	11.02316829080793
ERR3211861	d__Archaea	19.09461488950869	0.0
ERR3211862	d__Bacteria	51.560303674378495	5.173001138552567
ERR3211862	d__Archaea	19.981834695731155	0.0
ERR3211863	d__Bacteria	50.89332145451617	9.711613547522546
ERR3211863	d__Archaea	18.04727646454265	0.0
ERR3211864	d__Bacteria	51.693380819505464	8.118137758250594
ERR3211864	d__Archaea	15.691832002061323	0.0
ERR3211866	d__Bacteria	53.847608647985346	8.650610715711265
ERR3211866	d__Archaea	20.339988139948606	0.0
ERR3211868	d__Bacteria	47.8626771564705	8.395567725193755
ERR3211868	d__Archaea	24.73101265822785	0.0
ERR3211869	d__Bacteria	42.57395404415777	4.104106855700984
ERR3211869	d__Archaea	14.645414645414645	0.0
ERR3211870	d__Bacteria	50.45883967418868	8.68486711923606
ERR3211870	d__Archaea	26.60764990813429	0.0
ERR3211871	d__Bacteria	45.8195479432251	6.105141953163958
ERR3211871	d__Archaea	18.45428840716305	0.0
ERR3211872	d__Bacteria	44.79306584412972	8.039710465112176
ERR3211872	d__Archaea	16.23093681917211	0.0
ERR3211875	d__Bacteria	43.778185265186245	4.328215567745644
ERR3211875	d__Archaea	32.425361649738385	0.0
ERR3211876	d__Bacteria	43.68573278194473	7.508407057146739
ERR3211876	d__Archaea	29.998414460123673	0.0
ERR3211877	d__Bacteria	44.18849092703852	8.710941784369401
ERR3211877	d__Archaea	28.09985219247824	0.0
ERR3211878	d__Bacteria	46.264384983608025	6.523432929819452
ERR3211878	d__Archaea	34.62343096234309	0.0
ERR3211879	d__Bacteria	43.153320868222096	7.323713519226079
ERR3211879	d__Archaea	30.53421787709497	0.0
ERR3211880	d__Bacteria	46.03109297583801	2.4234636367735245
ERR3211880	d__Archaea	37.74617067833698	0.0
ERR3211885	d__Bacteria	37.024656502917374	7.125218466833373
ERR3211885	d__Archaea	9.382479655337482	0.0
